County Name,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20
Anoka County,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,3,5,5,5,5,7,7,7,8,10,12,17,22,23,26,30,34,36,36,40,42,46,53,53,58,68,68,72,76,79,83,85,93,95,97,105,131,142,150,165,168,186,196,212,231,260,281,299,344,382,426,477,518,549,571,613,640,678,726,770,821,869,919,955,995,1044,1092,1164,1210,1241,1262,1289,1324,1363,1399,1429,1441,1470,1488,1527,1555,1585,1616,1627,1654,1674,1691,1716,1742,1760,1770,1786,1810,1836,1867,1894,1910,1919
Carver County,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,3,7,8,8,8,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,12,13,13,13,14,14,14,14,14,14,14,15,15,15,16,17,17,19,20,21,21,25,26,27,39,51,58,69,78,82,92,95,99,103,105,111,113,117,128,131,138,146,154,161,174,182,185,189,201,206,210,218,222,224,232,240,247,250,254,257,261,266,268,269,270,271,276,278,285,287,293,294,297,299
Dakota County,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,6,7,7,7,11,18,21,21,25,28,33,39,46,47,48,52,54,56,63,67,71,75,79,79,87,95,95,103,103,103,110,113,116,124,127,130,131,136,138,143,144,156,157,162,171,189,202,215,241,292,322,364,408,430,471,508,524,562,623,666,742,802,841,885,929,961,999,1059,1102,1164,1182,1202,1230,1263,1327,1349,1368,1388,1414,1446,1481,1504,1523,1554,1572,1623,1648,1682,1713,1730,1758,1776,1805,1847,1878,1915,1941,1956
Hennepin County,0,0,0,0,0,0,0,0,0,0,0,1,3,6,6,22,24,30,33,45,52,57,89,103,111,128,141,152,171,190,204,218,235,242,252,267,280,310,344,375,375,464,557,557,588,651,706,806,875,924,975,975,975,975,975,975,975,975,975,1633,1738,1829,1980,2151,2298,2519,2764,2962,3153,3379,3558,3744,4033,4183,4331,4674,4930,5158,5409,5650,5838,6029,6350,6649,6918,7168,7421,7540,7695,7932,8181,8393,8514,8591,8738,8867,9099,9255,9372,9480,9567,9674,9815,9934,10069,10191,10281,10323,10415,10512,10607,10705,10830,10920,10988
Ramsey County,0,0,0,0,0,1,1,1,1,1,2,3,3,4,4,6,6,6,12,16,17,18,24,26,27,32,34,42,46,50,56,66,67,71,79,91,96,101,112,121,121,132,152,152,153,164,177,178,192,196,202,215,219,235,247,261,278,297,317,332,374,405,453,493,535,583,656,717,800,875,920,986,1052,1124,1167,1287,1416,1530,1625,1720,1846,1925,2018,2164,2316,2437,2551,2610,2698,2790,2863,3019,3075,3128,3189,3252,3351,3445,3507,3553,3626,3680,3740,3813,3882,3936,3992,4033,4079,4128,4180,4244,4306,4352,4394
Scott County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,5,5,6,6,7,8,9,10,10,10,10,11,12,13,15,16,17,19,19,20,20,20,20,20,20,23,23,25,27,27,28,29,30,32,32,35,36,41,44,46,52,58,63,74,90,100,121,129,140,155,168,177,186,207,223,238,259,271,291,298,316,334,346,358,374,379,383,394,408,426,436,442,455,460,471,483,486,493,496,504,517,525,526,528,536,541,546,551,555,561,570,587,595
Washington County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,4,7,10,10,13,15,22,25,27,34,39,44,46,51,54,62,65,68,70,72,72,77,80,80,84,88,91,92,92,94,97,98,100,100,107,112,113,114,117,120,131,133,142,146,152,162,181,193,211,231,247,256,266,274,282,305,326,363,378,398,414,431,453,485,506,527,553,562,576,598,617,636,645,658,670,680,700,712,721,731,732,735,748,766,787,796,799,802,826,833,843,868,885,898,905
